,Pseudo Code,Java,Python
10,"Minimum row or column swaps required to make every pair of adjacent cell of a Binary Matrix distinct | Java program for the above approach ; Function to return number of moves to convert matrix into chessboard ; Size of the matrix ; Traverse the matrix ; Initialize rowSum to count 1 s in row ; Initialize colSum to count 1 s in column ; To store no . of rows to be corrected ; To store no . of columns to be corrected ; Traverse in the range [ 0 , N - 1 ] ; Check if rows is either N \/ 2 or ( N + 1 ) \/ 2 and return - 1 ; Check if rows is either N \/ 2 or ( N + 1 ) \/ 2 and return - 1 ; Check if N is odd ; Check if column required to be corrected is odd and then assign N - colSwap to colSwap ; Check if rows required to be corrected is odd and then assign N - rowSwap to rowSwap ; Take min of colSwap and N - colSwap ; Take min of rowSwap and N - rowSwap ; Finally return answer ; Driver Code ; Given matrix ; Function Call ; Print answer","```java
public static int getMinimumSwaps(int[][] matrix) {
    int N = matrix.length;
    int rowSum = 0, colSum = 0;
    int rowSwap = 0, colSwap = 0;
    for (int i = 0; i < N; i++) {
        for (int j = 0; j < N; j++) {
            rowSum += matrix[i][j];
            colSum += matrix[j][i];
        }
        if (rowSum != N / 2 && rowSum != (N + 1) / 2) {
            rowSwap++;
        }
        if (colSum != N / 2 && colSum != (N + 1) / 2) {
            colSwap++;
        }
        rowSum = 0;
        colSum = 0;
    }
    if (N % 2 == 1) {
        if (colSwap % 2 != 0) {
            colSwap = N - colSwap;
        }
        if (rowSwap % 2 != 0) {
            rowSwap = N - rowSwap;
        }
    }
    colSwap = Math.min(colSwap, N - colSwap);
    rowSwap = Math.min(rowSwap, N - rowSwap);
    return Math.min(colSwap, rowSwap);
}
```","```python
def min_swaps(matrix):
  N = len(matrix)
  rowSum = [0] * N
  colSum = [0] * N
  rowSwap = 0
  colSwap = 0
  for i in range(N):
    for j in range(N):
      rowSum[i] += matrix[i][j]
      colSum[j] += matrix[i][j]
  for i in range(N):
    if rowSum[i] != N//2 and rowSum[i] != (N+1)//2:
      return -1
    if colSum[i] != N//2 and colSum[i] != (N+1)//2:
      return -1
  if N%2 == 1:
    if colSwap%2 == 1:
      colSwap = N - colSwap
    if rowSwap%2 == 1:
      rowSwap = N - rowSwap
  colSwap = min(colSwap, N - colSwap)
  rowSwap = min(rowSwap, N - rowSwap)
  return colSwap + rowSwap
```"
11,"Minimum number of coins having value equal to powers of 2 required to obtain N | Java program for above approach ; Function to count of set bit in N ; Stores count of set bit in N ; Iterate over the range [ 0 , 31 ] ; If current bit is set ; Update result ; Driver Code","```java
public static int countSetBits(int n) {
    int count = 0;
    for (int i = 0; i < 31; i++) {
      if ((n & (1 << i)) != 0) {
        count++;
      }
    }
    return count;
  }
```","```python
def count_coins(N):
  result = 0
  for i in range(31):
    if (N >> i) & 1:
      result += 1
  return result
```"
12,Evaluate the expression ( N1 * ( N | Java program to implement the above approach ; Function to find the value of the expression ( N ^ 1 * ( N 1 ) ^ 2 * ... * 1 ^ N ) % ( 109 + 7 ) . ; factorial [ i ] : Stores factorial of i ; Base Case for factorial ; Precompute the factorial ; dp [ N ] : Stores the value of the expression ( N ^ 1 * ( N 1 ) ^ 2 * ... * 1 ^ N ) % ( 109 + 7 ) . ; Update dp [ i ] ; Return the answer . ; Driver code ; Function call,"```java
public static long findValue(int N) {
    long[] factorial = new long[N + 1];
    factorial[0] = 1;
    for (int i = 1; i <= N; i++) {
        factorial[i] = (factorial[i - 1] * i) % 1000000007;
    }
    long[] dp = new long[N + 1];
    dp[0] = 1;
    for (int i = 1; i <= N; i++) {
        dp[i] = (dp[i - 1] * factorial[i]) % 1000000007;
    }
    return dp[N];
}
```","```python
def findValue(N):
  MOD = 10**9 + 7
  factorial = [1] * (N + 1)
  for i in range(1, N + 1):
    factorial[i] = (factorial[i - 1] * i) % MOD
  dp = [1] * (N + 1)
  for i in range(1, N + 1):
    dp[i] = (dp[i - 1] * pow(i, i, MOD) * factorial[i - 1]) % MOD
  return dp[N]
```"
13,Chocolate Distribution Problem | Set 2 | Java program for the above approach ; FUnction to print minimum number of candies required ; Distribute 1 chocolate to each ; Traverse from left to right ; Traverse from right to left ; Initialize sum ; Find total sum ; Return sum ; Driver Code ; Given array ; Size of the given array,"```java
public static int minCandies(int[] arr, int n) {
    int[] candies = new int[n];
    Arrays.fill(candies, 1);
    for (int i = 1; i < n; i++) {
        if (arr[i] > arr[i - 1] && candies[i] <= candies[i - 1]) {
            candies[i] = candies[i - 1] + 1;
        }
    }
    for (int i = n - 2; i >= 0; i--) {
        if (arr[i] > arr[i + 1] && candies[i] <= candies[i + 1]) {
            candies[i] = candies[i + 1] + 1;
        }
    }
    int sum = 0;
    for (int i = 0; i < n; i++) {
        sum += candies[i];
    }
    return sum;
}
```","```python
def minCandies(arr, n):
  candies = [1] * n
  for i in range(1, n):
    if arr[i] > arr[i - 1] and candies[i] <= candies[i - 1]:
      candies[i] = candies[i - 1] + 1
  for i in range(n - 2, -1, -1):
    if arr[i] > arr[i + 1] and candies[i] <= candies[i + 1]:
      candies[i] = candies[i + 1] + 1
  sum = 0
  for i in range(n):
    sum += candies[i]
  return sum
```"
14,"Construct longest possible sequence of unique elements with given LCM | Java program to implement the above approach ; Function to construct an array of unique elements whose LCM is N ; Stores array elements whose LCM is N ; Iterate over the range [ 1 , sqrt ( N ) ] ; If N is divisible by i ; Insert i into newArr [ ] ; If N is not perfect square ; Sort the array newArr [ ] ; Print array elements ; Driver Code ; Given N ; Function Call","```java
public static int[] constructArray(int N) {
    int[] newArr = new int[0];
    for (int i = 1; i <= Math.sqrt(N); i++) {
      if (N % i == 0) {
        newArr = Arrays.copyOf(newArr, newArr.length + 1);
        newArr[newArr.length - 1] = i;
        if (i != N / i) {
          newArr = Arrays.copyOf(newArr, newArr.length + 1);
          newArr[newArr.length - 1] = N / i;
        }
      }
    }
    Arrays.sort(newArr);
    return newArr;
  }
```","```python
def construct_array(N):
  newArr = []
  for i in range(1, int(N**0.5) + 1):
    if N % i == 0:
      newArr.append(i)
  if N != int(N**0.5)**2:
    newArr.append(N // newArr[-1])
  newArr.sort()
  return newArr
```"
15,"Count numbers from given range having odd digits at odd places and even digits at even places | Java program to implement the above approach ; Function to calculate 5 ^ p ; Stores the result ; Multiply 5 p times ; Return the result ; Function to count all numbers upto N having odd digits at odd places and even digits at even places ; Stores the count ; Stores the digits of N ; Insert the digits of N ; Reverse the vector to arrange the digits from first to last ; Stores count of digits of n ; Stores the count of numbers with i digits ; If the last digit is reached , subtract numbers eceeding range ; Iterate over all the places ; Stores the digit in the pth place ; Stores the count of numbers having a digit greater than x in the p - th position ; Calculate the count of numbers exceeding the range if p is even ; Calculate the count of numbers exceeding the range if p is odd ; Subtract the count of numbers exceeding the range from total count ; If the parity of p and the parity of x are not same ; Add count of numbers having i digits and satisfies the given conditions ; Return the total count of numbers till n ; Function to calculate the count of numbers from given range having odd digits places and even digits at even places ; Count of numbers in range [ L , R ] = Count of numbers till R - ; Count of numbers till ( L - 1 ) ; Driver Code","```java
public static int countNumbers(int L, int R) {
    return countNumbersTill(R) - countNumbersTill(L - 1);
}

public static int countNumbersTill(int N) {
    int count = 0;
    Vector<Integer> digits = new Vector<>();
    for (int i = N; i > 0; i /= 10) {
        digits.add(i % 10);
    }
    Collections.reverse(digits);
    int n = digits.size();
    int[] dp = new int[n + 1];
    for (int i = 1; i <= n; i++) {
        dp[i] = power5(i);
        if (i == n) {
            dp[i] -= Math.max(0, N - power5(n) + 1);
        }
        for (int p = 1; p <= i; p++) {
            int x = digits.get(p - 1);
            int countNumbersGreaterThanX = power5(i - p);
            if (p % 2 == 0) {
                countNumbersGreaterThanX -= Math.max(0, N - (power5(p - 1) * 10 + power5(i - p)) + 1);
            } else {
                countNumbersGreaterThanX -= Math.max(0, N - (power5(p - 1) * 10 + power5(i - p) * 5) + 1);
            }
            if (p % 2 != x % 2) {
                dp[i] += countNumbersGreaterThanX;
            }
        }
    }
    for (int i = 1; i <= n; i++) {
        count += dp[i];
    }
    return count;
}

public static int power5(int p) {
    int result = 1;
    for (int i = 0; i < p; i++) {
        result *= 5;
    }
    return result;
}
```","```python
def power5(p):
  result = 1
  for _ in range(p):
    result *= 5
  return result

def countNumbers(N):
  count = 0
  digits = []
  for i in str(N):
    digits.append(int(i))
  digits.reverse()
  n = len(digits)
  dp = [0] * (n + 1)
  for i in range(1, n + 1):
    dp[i] = power5(i)
    if i == n:
      dp[i] -= (power5(i) - N)
    for p in range(1, i + 1):
      x = digits[p - 1]
      cnt = 0
      if p % 2 == 0:
        if x > 0:
          cnt = power5(p - 1)
      else:
        if x > 1:
          cnt = power5(p - 1)
      dp[i] -= cnt
      if (p % 2 == 0 and x % 2 == 0) or (p % 2 != 0 and x % 2 != 0):
        dp[i] += dp[p - 1]
  count = dp[n]
  return count

def countInRange(L, R):
  return countNumbers(R) - countNumbers(L - 1)
```"
16,Sum of first N natural numbers with alternate signs | Java program to implement the above approach ; Function to find the sum of first N natural numbers with alternate signs ; Stores sum of alternate sign of first N natural numbers ; If is an even number ; Update alternateSum ; If i is an odd number ; Update alternateSum ; Driver Code,"```java
public static int alternateSum(int n) {
    int alternateSum = 0;
    for (int i = 1; i <= n; i++) {
      if (i % 2 == 0) {
        alternateSum -= i;
      } else {
        alternateSum += i;
      }
    }
    return alternateSum;
  }
```","```python
def sum_alternate_signs(N):
  alternateSum = 0
  for i in range(1, N + 1):
    if i % 2 == 0:
      alternateSum -= i
    else:
      alternateSum += i
  return alternateSum
```"
17,"Sum of all numbers up to N that are co | Java program for the above approach ; Function to return gcd of a and b ; Base Case ; Recursive GCD ; Function to calculate the sum of all numbers till N that are coprime with N ; Stores the resultant sum ; Iterate over [ 1 , N ] ; If gcd is 1 ; Update sum ; Return the final sum ; Driver Code ; Given N ; Function Call","```java
public static int sumOfCoprimes(int N) {
  int sum = 0;
  for (int i = 1; i <= N; i++) {
    if (gcd(i, N) == 1) {
      sum += i;
    }
  }
  return sum;
}

public static int gcd(int a, int b) {
  if (b == 0) {
    return a;
  }
  return gcd(b, a % b);
}
```","```python
def sum_coprimes(N):
  sum = 0
  for i in range(1, N + 1):
    if gcd(i, N) == 1:
      sum += i
  return sum

def gcd(a, b):
  if b == 0:
    return a
  return gcd(b, a % b)
```"
18,Count all distinct pairs of repeating elements from the array for every array element | Java program for the above approach ; Function to print the required count of pairs excluding the current element ; Store the frequency ; Find all the count ; Delete the contribution of each element for equal pairs ; Print the answer ; Driver Code ; Given array arr [ ] ; Function Call,"```java
public static int countDistinctPairs(int[] arr) {
    int n = arr.length;
    int count = 0;
    Map<Integer, Integer> frequency = new HashMap<>();
    for (int i = 0; i < n; i++) {
      frequency.put(arr[i], frequency.getOrDefault(arr[i], 0) + 1);
    }
    for (int i = 0; i < n; i++) {
      int currentElement = arr[i];
      int currentFrequency = frequency.get(currentElement);
      count += (currentFrequency - 1) * (currentFrequency - 2) / 2;
      frequency.put(currentElement, frequency.get(currentElement) - 1);
    }
    return count;
  }
  public static void main(String[] args) {
    int[] arr = {1, 2, 2, 3, 3, 3};
    int result = countDistinctPairs(arr);
    System.out.println(result);
  }
```","```python
def countDistinctPairs(arr):
  n = len(arr)
  freq = {}
  for i in range(n):
    if arr[i] in freq:
      freq[arr[i]] += 1
    else:
      freq[arr[i]] = 1
  count = 0
  for i in range(n):
    temp = freq[arr[i]]
    freq[arr[i]] = 0
    for j in freq:
      if freq[j] > 0:
        count += 1
    freq[arr[i]] = temp
  return count

# Driver Code
arr = [1, 2, 3, 1, 2, 3]
print(countDistinctPairs(arr)) 
```"
19,Mode in a stream of integers ( running integers ) | Java implementation of the above approach ; Function that prints the Mode values ; Map used to map integers to its frequency ; To store the maximum frequency ; To store the element with the maximum frequency ; Loop used to read the elements one by one ; Updates the frequency of that element ; Checks for maximum Number of occurrence ; Updates the maximum frequency ; Updates the Mode ; Driver Code ; Function Call,"```java
import java.util.HashMap;
import java.util.Map;

public class ModeInStream {

    public static void printMode(int[] arr) {
        Map<Integer, Integer> frequencyMap = new HashMap<>();
        int maxFrequency = 0;
        int mode = 0;
        for (int element : arr) {
            frequencyMap.put(element, frequencyMap.getOrDefault(element, 0) + 1);
            if (frequencyMap.get(element) > maxFrequency) {
                maxFrequency = frequencyMap.get(element);
                mode = element;
            }
        }
        System.out.println(""Mode: "" + mode);
    }

    public static void main(String[] args) {
        int[] arr = {1, 2, 2, 3, 3, 3, 4, 4, 4, 4};
        printMode(arr);
    }
}
```","```python
from collections import defaultdict

def printMode(arr):
  freq = defaultdict(int)
  max_freq = 0
  mode = None
  for num in arr:
    freq[num] += 1
    if freq[num] > max_freq:
      max_freq = freq[num]
      mode = num
  print(mode)
```"
20,Count of distinct numbers formed by shuffling the digits of a large number N | Java program for the above approach ; Recursive function to return the value of ( x ^ n ) % m ; Base Case ; If N is even ; Else N is odd ; Function to find modular inverse of a number x under modulo m ; Using Fermat 's little theorem ; Function to count of numbers formed by shuffling the digits of a large number N ; Modulo value ; Array to store the factorials upto the maximum value of N ; Store factorial of i at index i ; To store count of occurrence of a digit ; Increment the count of digit occured ; Assign the factorial of length of input ; Multiplying result with the modulo multiplicative inverse of factorial of count of i ; Print the result ; Driver code ; Given number as string ; Function call,"```java
public static long power(long x, long n, long m) {
    if (n == 0) {
        return 1;
    } else if (n % 2 == 0) {
        return power((x * x) % m, n / 2, m);
    } else {
        return (x * power((x * x) % m, (n - 1) / 2, m)) % m;
    }
}

public static long modInverse(long x, long m) {
    return power(x, m - 2, m);
}

public static long countDistinctNumbers(String N, long m) {
    long[] fact = new long[N.length() + 1];
    fact[0] = 1;
    for (int i = 1; i <= N.length(); i++) {
        fact[i] = (fact[i - 1] * i) % m;
    }
    int[] count = new int[10];
    for (int i = 0; i < N.length(); i++) {
        count[N.charAt(i) - '0']++;
    }
    long result = fact[N.length()];
    for (int i = 0; i < 10; i++) {
        result = (result * modInverse(fact[count[i]], m)) % m;
    }
    return result;
}

public static void main(String[] args) {
    String N = ""12345"";
    long m = 1000000007;
    System.out.println(countDistinctNumbers(N, m));
}
```","```python
def countDistinctNumbers(N, MOD):
    fact = [1] * (len(N) + 1)
    for i in range(1, len(N) + 1):
        fact[i] = (fact[i - 1] * i) % MOD
    count = [0] * 10
    for i in N:
        count[int(i)] += 1
    result = fact[len(N)]
    for i in range(10):
        result = (result * modularInverse(fact[count[i]], MOD)) % MOD
    return result

def modularInverse(x, m):
    return pow(x, m - 2, m)
```"
